대학명,지역,전형구분,군,학과명,모집인원,국어비율,수학비율,영어비율,탐구비율,한국사비율,과목별반영비율,비고
군산대학교2028,전북,정시,,학생부교과,303,,,,10%,,탐구:10%,
군산대학교2028,전북,정시,,학생부,388,,,,10%,,탐구:10%,
군산대학교2028,전북,정시,,학생부교과,24,,,,10%,,탐구:10%,
군산대학교2028,전북,정시,,학생부,3,,,,10%,,탐구:10%,
군산대학교2028,전북,정시,,는 간호학부,921,,,,10%,,탐구:10%,
군산대학교2028,전북,정시,,학생부,8,,,,10%,,탐구:10%,
군산대학교2028,전북,정시,,체육학부,15,,,,10%,,탐구:10%,
군산대학교2028,전북,정시,,세세세세세세세세세세세세세세부부부부부부부부부부부부부부,16,,,,10%,,탐구:10%,
군산대학교2028,전북,정시,가군,학생 재학기간과,15,,,,10%,,탐구:10%,
금오공과대학교,경북,정시,다군,학생부교과,462,,10%,,,,수학:10%,
금오공과대학교,경북,정시,다군,학생부교과,202,,10%,,,,수학:10%,
금오공과대학교,경북,정시,다군,학생부교과,40,,10%,,,,수학:10%,
금오공과대학교,경북,정시,다군,학생부교과,11,,10%,,,,수학:10%,
금오공과대학교,경북,정시,다군,학생부교과,18,,10%,,,,수학:10%,
금오공과대학교,경북,정시,다군,학생부교과,49,,10%,,,,수학:10%,
금오공과대학교,경북,정시,다군,학생부,222,,10%,,,,수학:10%,
금오공과대학교,경북,정시,다군,학생부,65,,10%,,,,수학:10%,
금오공과대학교,경북,정시,가군,학교생활기록부,61,,10%,,,,수학:10%,
금오공과대학교,경북,정시,다군,수시모집 학생부교과,72,,10%,,,,수학:10%,
금오공과대학교,경북,정시,다군,학생부교과,5,,10%,,,,수학:10%,
금오공과대학교,경북,정시,다군,학생부교과,15,,10%,,,,수학:10%,
금오공과대학교,경북,정시,다군,학생부교과,15,,10%,,,,수학:10%,
금오공과대학교,경북,정시,다군,국립금오공과,24,,10%,,,,수학:10%,
금오공과대학교,경북,정시,다군,건축토목환경공학부,9,,10%,,,,수학:10%,
금오공과대학교,경북,정시,다군,기계공학부,14,,10%,,,,수학:10%,
금오공과대학교,경북,정시,다군,기계공학부,6,,10%,,,,수학:10%,
